Lead Owner,Interest Level,Lead Location(Auto),Creation Source,Marketing Source,is_india_location,days_since_next_activity,next_activity_hour,Days_Since_Update,Update_Hour,Update_DayOfWeek,hour_of_day,day_of_week,is_student,creation_source_encoded
20,0,IN,0,42,0,-1.0,-1.0,864,19,3,16,3,1,0
18,1,Unknown,0,13,0,38.0,0.0,1230,17,2,9,5,0,0
17,0,Unknown,0,19,0,0.0,0.0,1135,20,5,10,4,0,0
5,0,IN,0,19,0,1.0,0.0,906,13,4,17,4,0,0
16,0,Unknown,0,0,0,-1.0,-1.0,1290,14,5,10,0,0,0
19,1,Unknown,0,42,0,1.0,0.0,911,19,5,22,3,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1053,18,4,14,3,0,0
16,0,Unknown,0,10,0,-1.0,-1.0,1291,4,4,23,3,0,0
17,0,Unknown,0,13,0,15.0,0.0,1067,10,4,13,2,0,0
5,0,IN,0,13,0,1.0,0.0,946,11,6,23,4,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1042,11,1,16,0,0,0
21,1,In,0,6,0,-1.0,-1.0,987,13,0,15,3,0,0
19,0,Unknown,0,0,0,-1.0,-1.0,1219,11,6,19,2,0,0
19,0,Unknown,0,42,0,-1.0,-1.0,1063,15,1,19,6,0,0
18,0,IN,0,42,0,-1.0,-1.0,809,14,3,10,2,0,0
14,0,Unknown,0,22,0,94.0,0.0,1023,15,6,13,2,0,0
2,1,IN,0,13,0,173.0,0.0,948,14,4,0,3,0,0
4,0,Unknown,0,0,0,-1.0,-1.0,1250,19,2,16,1,0,0
5,0,Unknown,0,22,0,1.0,0.0,822,10,4,22,4,0,0
5,0,india,0,19,1,0.0,0.0,914,17,3,17,1,0,0
20,1,Cote d'Ivoire,0,42,0,-1.0,-1.0,831,12,2,23,4,1,0
6,1,Unknown,0,42,0,0.0,0.0,797,13,1,15,5,0,0
10,0,Unknown,0,13,0,-1.0,0.0,811,10,1,9,4,0,0
5,0,india,0,42,1,0.0,0.0,961,9,5,7,3,0,0
18,0,IN,0,42,0,-1.0,-1.0,805,12,0,9,6,0,0
4,0,Unknown,0,10,0,4.0,11.0,985,17,2,23,1,0,0
18,0,Unknown,0,19,0,-1.0,-1.0,1231,20,0,17,2,0,0
18,0,Unknown,0,6,0,-1.0,-1.0,1048,13,2,16,0,0,0
4,0,Unknown,0,13,0,-1.0,-1.0,1090,11,2,22,0,0,0
19,1,Unknown,0,42,0,0.0,0.0,989,11,5,15,3,0,0
17,0,Unknown,0,19,0,0.0,0.0,1142,20,5,14,4,0,0
21,0,PK,0,42,0,-1.0,-1.0,986,14,1,4,5,0,0
2,1,Unknown,0,42,0,-1.0,-1.0,1231,21,0,8,6,0,0
4,1,Unknown,0,10,0,27.0,0.0,1148,17,0,18,0,0,0
17,0,Unknown,0,19,0,-1.0,-1.0,835,17,5,3,6,0,0
18,1,Unknown,0,13,0,-1.0,-1.0,1133,20,0,8,5,0,0
2,1,IN,0,10,0,5.0,9.0,1162,9,0,14,1,0,0
1,1,cz,0,42,0,-1.0,-1.0,843,19,3,16,3,0,0
18,0,Unknown,0,42,0,-1.0,-1.0,827,4,6,6,4,0,0
1,0,Unknown,0,42,0,-1.0,0.0,1146,19,1,15,1,1,0
2,0,In,0,13,0,54.0,0.0,892,10,4,23,2,0,0
12,1,Unknown,0,42,0,-1.0,0.0,860,20,0,3,0,0,0
19,1,Unknown,0,42,0,0.0,0.0,823,14,3,9,2,0,0
20,1,India,0,42,1,-1.0,-1.0,879,14,3,13,0,0,0
1,1,Unknown,0,42,0,-1.0,-1.0,1087,18,5,23,4,0,0
14,0,Unknown,0,13,0,190.0,0.0,1024,9,5,18,3,0,0
19,1,Unknown,0,42,0,0.0,0.0,821,15,5,7,5,0,0
18,0,IN,0,42,0,-1.0,-1.0,842,16,5,22,3,0,0
18,1,Unknown,0,6,0,42.0,0.0,1008,19,6,12,5,0,0
21,1,IN,0,22,0,-1.0,-1.0,828,18,4,6,4,0,0
21,0,IN,0,6,0,-1.0,-1.0,977,13,3,15,2,0,0
19,0,Unknown,0,0,0,-1.0,-1.0,1225,15,0,23,5,0,0
20,0,Unknown,0,42,0,-1.0,-1.0,950,16,2,8,1,1,0
20,0,India,0,42,1,-1.0,-1.0,872,17,3,8,3,1,0
4,0,Unknown,0,22,0,14.0,0.0,959,18,0,18,6,0,0
17,0,Unknown,0,19,0,0.0,0.0,1013,15,2,17,1,0,0
